#content-hash: xxh64:35abe80b809041c2
#content-source: SRD 5.1
#content-systems: 5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-schema: 1
#content-updated_at: 2026-09-06
#content-id: f1c7c5fa-64f3-4216-a73c-39c264d87fa3
id,class_id,level,cantrips_known,prepared_known
bard_1,bard,1,2,4
bard_2,bard,2,2,5
bard_3,bard,3,2,6
bard_4,bard,4,3,7
bard_5,bard,5,3,8
bard_6,bard,6,3,9
bard_7,bard,7,3,10
bard_8,bard,8,3,11
bard_9,bard,9,3,12
bard_10,bard,10,4,14
bard_11,bard,11,4,15
bard_12,bard,12,4,15
bard_13,bard,13,4,16
bard_14,bard,14,4,18
bard_15,bard,15,4,19
bard_16,bard,16,4,19
bard_17,bard,17,4,20
bard_18,bard,18,4,22
bard_19,bard,19,4,22
bard_20,bard,20,4,22
cleric_1,cleric,1,3,
cleric_2,cleric,2,3,
cleric_3,cleric,3,3,
cleric_4,cleric,4,4,
cleric_5,cleric,5,4,
cleric_6,cleric,6,4,
cleric_7,cleric,7,4,
cleric_8,cleric,8,4,
cleric_9,cleric,9,4,
cleric_10,cleric,10,5,
cleric_11,cleric,11,5,
cleric_12,cleric,12,5,
cleric_13,cleric,13,5,
cleric_14,cleric,14,5,
cleric_15,cleric,15,5,
cleric_16,cleric,16,5,
cleric_17,cleric,17,5,
cleric_18,cleric,18,5,
cleric_19,cleric,19,5,
cleric_20,cleric,20,5,
druid_1,druid,1,2,
druid_2,druid,2,2,
druid_3,druid,3,2,
druid_4,druid,4,3,
druid_5,druid,5,3,
druid_6,druid,6,3,
druid_7,druid,7,3,
druid_8,druid,8,3,
druid_9,druid,9,3,
druid_10,druid,10,4,
druid_11,druid,11,4,
druid_12,druid,12,4,
druid_13,druid,13,4,
druid_14,druid,14,4,
druid_15,druid,15,4,
druid_16,druid,16,4,
druid_17,druid,17,4,
druid_18,druid,18,4,
druid_19,druid,19,4,
druid_20,druid,20,4,
sorcerer_1,sorcerer,1,4,2
sorcerer_2,sorcerer,2,4,3
sorcerer_3,sorcerer,3,4,4
sorcerer_4,sorcerer,4,5,5
sorcerer_5,sorcerer,5,5,6
sorcerer_6,sorcerer,6,5,7
sorcerer_7,sorcerer,7,5,8
sorcerer_8,sorcerer,8,5,9
sorcerer_9,sorcerer,9,5,10
sorcerer_10,sorcerer,10,6,11
sorcerer_11,sorcerer,11,6,12
sorcerer_12,sorcerer,12,6,12
sorcerer_13,sorcerer,13,6,13
sorcerer_14,sorcerer,14,6,13
sorcerer_15,sorcerer,15,6,14
sorcerer_16,sorcerer,16,6,14
sorcerer_17,sorcerer,17,6,15
sorcerer_18,sorcerer,18,6,15
sorcerer_19,sorcerer,19,6,15
sorcerer_20,sorcerer,20,6,15
warlock_1,warlock,1,2,2
warlock_2,warlock,2,2,3
warlock_3,warlock,3,2,4
warlock_4,warlock,4,3,5
warlock_5,warlock,5,3,6
warlock_6,warlock,6,3,7
warlock_7,warlock,7,3,8
warlock_8,warlock,8,3,9
warlock_9,warlock,9,3,10
warlock_10,warlock,10,4,10
warlock_11,warlock,11,4,11
warlock_12,warlock,12,4,11
warlock_13,warlock,13,4,12
warlock_14,warlock,14,4,12
warlock_15,warlock,15,4,13
warlock_16,warlock,16,4,13
warlock_17,warlock,17,4,14
warlock_18,warlock,18,4,14
warlock_19,warlock,19,4,15
warlock_20,warlock,20,4,15
wizard_1,wizard,1,3,
wizard_2,wizard,2,3,
wizard_3,wizard,3,3,
wizard_4,wizard,4,4,
wizard_5,wizard,5,4,
wizard_6,wizard,6,4,
wizard_7,wizard,7,4,
wizard_8,wizard,8,4,
wizard_9,wizard,9,4,
wizard_10,wizard,10,5,
wizard_11,wizard,11,5,
wizard_12,wizard,12,5,
wizard_13,wizard,13,5,
wizard_14,wizard,14,5,
wizard_15,wizard,15,5,
wizard_16,wizard,16,5,
wizard_17,wizard,17,5,
wizard_18,wizard,18,5,
wizard_19,wizard,19,5,
wizard_20,wizard,20,5,
ranger_1,ranger,1,,
ranger_2,ranger,2,,2
ranger_3,ranger,3,,3
ranger_4,ranger,4,,3
ranger_5,ranger,5,,4
ranger_6,ranger,6,,4
ranger_7,ranger,7,,5
ranger_8,ranger,8,,5
ranger_9,ranger,9,,6
ranger_10,ranger,10,,6
ranger_11,ranger,11,,7
ranger_12,ranger,12,,7
ranger_13,ranger,13,,8
ranger_14,ranger,14,,8
ranger_15,ranger,15,,9
ranger_16,ranger,16,,9
ranger_17,ranger,17,,10
ranger_18,ranger,18,,10
ranger_19,ranger,19,,11
ranger_20,ranger,20,,11
