#content-source: SRD 5.1
#content-systems: 5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-fd32-7512-a864-92541140435e
#content-updated_at: 2026-07-16
#content-hash: xxh64:327345e834074b71
id,name_en,name_uk,text_en,text_uk,effects,hit_die,primary_ability,saves,caster,spell_ability,skills_choose,skills_from,subclass_level,asi_levels
barbarian,Barbarian,,,,,d12,,"str,con",none,,2,"animal_handling,athletics,intimidation,nature,perception,survival_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_greataxe,any_martial_melee_weapon_two_handaxes,any_simple_weapon_an_explorers_pack,four_javelins_the_barbarian_level_proficiency_bonus_features_rages_rage_damage_1st_2_rage,unarmored_defense_2_2_2nd_2_reckless_attack,danger_sense_2_2_3rd_2_primal_path_3_2_4th_2_ability_score_improvement_3_2_5th_3_extra_attack,fast_movement_3_2_6th_3_path_feature_4_2_7th_3_feral_instinct_4_2_8th_3_ability_score_improvement_4_2_9th_4_brutal_critical_4_3_10th_4_path_feature_4_3_11th_4_relentless_4_3_rage_12th_4_ability_score_improvement_5_3_13th_5_brutal_critical_5_3_14th_5_path_feature_5_3_15th_5_persistent_rage_5_3_16th_5_ability_score_improvement_5_4_17th_6_brutal_critical_6_4_18th_6_indomitable_might_6_4_19th_6_ability_score_improvement_6_4_20th_6_primal_champion_unlimited_4_rage_in_battle,you_fight_with_primal_ferocity",3,"4,8,12,16,19"
bard,Bard,,,,,d8,,"dex,cha",full,cha,3,any,3,"4,8,12,16,19"
cleric,Cleric,,,,,d8,,"wis,cha",full,wis,2,"history,insight,medicine,persuasion,religion_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_mace,a_warhammer_scale_mail,leather_armor,chain_mail_a_light_crossbow,20_bolts,any_simple_weapon_a_priests_pack,an_explorers_pack_a_shield,a_holy_symbol_the_cleric_proficiency_cantrips_spell_slots_per_spell_level_level_bonus_features_known_1st_2nd_3rd_4th_5th_6th_7th_8th_9th_1st_2_spellcasting,divine_domain_3_2_2nd_2_channel_divinity,divine_domain_feature_3_3_3rd_2_3_4_2_4th_2_ability_score_improvement_4_4_3_5th_3_destroy_undead_4_4_3_2_6th_3_channel_divinity,divine_domain_feature_4_4_3_3_7th_3_4_4_3_3_1_8th_3_ability_score_improvement,destroy_undead,divine_domain_feature_4_4_3_3_2_9th_4_4_4_3_3_3_1_10th_4_divine_intervention_5_4_3_3_3_2_11th_4_destroy_undead_5_4_3_3_3_2_1_12th_4_ability_score_improvement_5_4_3_3_3_2_1_13th_5_5_4_3_3_3_2_1_1_14th_5_destroy_undead_5_4_3_3_3_2_1_1_15th_5_5_4_3_3_3_2_1_1_1_16th_5_ability_score_improvement_5_4_3_3_3_2_1_1_1_17th_6_destroy_undead,divine_domain_feature_5_4_3_3_3_2_1_1_1_1_18th_6_channel_divinity_5_4_3_3_3_3_1_1_1_1_19th_6_ability_score_improvement_5_4_3_3_3_3_2_1_1_1_20th_6_divine_intervention_improvement_5_4_3_3_3_3_2_2_1_1_spellcasting_as_a_conduit_for_divine_power,you_can_cast_cleric_spells",1,"4,8,12,16,19"
druid,Druid,,,,,d8,,"int,wis",full,wis,2,"arcana,animal_handling,insight,medicine,nature,perception,religion,survival_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_wooden_shield,any_simple_weapon_a_scimitar,any_simple_melee_weapon_leather_armor,an_explorers_pack,a_druidic_focus_the_druid_proficiency_cantrips_spell_slots_per_spell_level_level_bonus_features_known_1st_2nd_3rd_4th_5th_6th_7th_8th_9th_1st_2_druidic,spellcasting_2_2_2nd_2_wild_shape,druid_circle_2_3_3rd_2_2_4_2_4th_2_wild_shape_improvement,ability_score_improvement_3_4_3_5th_3_3_4_3_2_6th_3_druid_circle_feature_3_4_3_3_7th_3_3_4_3_3_1_8th_3_wild_shape_improvement,ability_score_improvement_3_4_3_3_2_9th_4_3_4_3_3_3_1_10th_4_druid_circle_feature_4_4_3_3_3_2_11th_4_4_4_3_3_3_2_1_12th_4_ability_score_improvement_4_4_3_3_3_2_1_13th_5_4_4_3_3_3_2_1_1_14th_5_druid_circle_feature_4_4_3_3_3_2_1_1_15th_5_4_4_3_3_3_2_1_1_1_16th_5_ability_score_improvement_4_4_3_3_3_2_1_1_1_17th_6_4_4_3_3_3_2_1_1_1_1_18th_6_timeless_body,beast_spells_4_4_3_3_3_3_1_1_1_1_19th_6_ability_score_improvement_4_4_3_3_3_3_2_1_1_1_20th_6_archdruid_4_4_3_3_3_3_2_2_1_1_druidic_you_know_druidic,the_secret_language_of_druids",2,"4,8,12,16,19"
fighter,Fighter,,,,,d10,,"str,con",none,,2,"acrobatics,animal_handling,athletics,history,insight,intimidation,perception,survival_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_chain_mail,leather_armor,longbow,and20_arrows_a_martial_weapon,a_shield,two_martial_weapons_a_light_crossbow,20_bolts,two_handaxes_a_dungeoneers_pack,an_explorers_pack_the_fighter_level_proficiency_bonus_features_1st_2_fighting_style,second_wind_2nd_2_action_surge_3rd_2_martial_archetype_4th_2_ability_score_improvement_5th_3_extra_attack_6th_3_ability_score_improvement_7th_3_martial_archetype_feature_8th_3_ability_score_improvement_9th_4_indomitable_10th_4_martial_archetype_feature_11th_4_extra_attack_12th_4_ability_score_improvement_13th_5_indomitable_14th_5_ability_score_improvement_15th_5_martial_archetype_feature_16th_5_ability_score_improvement_17th_6_action_surge,indomitable_18th_6_martial_archetype_feature_19th_6_ability_score_improvement_20th_6_extra_attack_fighting_style_you_adopt_a_particular_style_of_fighting_as_your_specialty",3,"4,6,8,12,14,16,19"
monk,Monk,,,,,d8,,"str,dex",none,,2,"acrobatics,athletics,history,insight,religion,stealth_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_shortsword,any_simple_weapon_a_dungeoneers_pack,an_explorers_pack_10_darts_the_monk_level_proficiency_bonus_martial_arts_ki_points_unarmored_movement_features_1st_2_1d4_unarmored_defense,martial_arts_2nd_2_1d4_2_10_ft",3,"4,8,12,16,19"
paladin,Paladin,,,,,d10,,"wis,cha",half,cha,2,"athletics,insight,intimidation,medicine,persuasion,religion_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_martial_weapon,a_shield,two_martial_weapons_five_javelins,any_simple_melee_weapon_a_priests_pack,an_explorers_pack_chain_mail,a_holy_symbol_the_paladin_proficiency_spell_slots_per_spell_level_level_bonus_features_1st_2nd_3rd_4th_5th_1st_2_divine_sense,lay_on_hands_2nd_2_fighting_style,spellcasting,divine_smite_2_3rd_2_divine_health,sacred_oath_3_4th_2_ability_score_improvement_3_5th_3_extra_attack_4_2_6th_3_aura_of_protection_4_2_7th_3_sacred_oath_feature_4_3_8th_3_ability_score_improvement_4_3_9th_4_4_3_2_10th_4_aura_of_courage_4_3_2_11th_4_improved_divine_smite_4_3_3_12th_4_ability_score_improvement_4_3_3_13th_5_4_3_3_1_14th_5_cleansing_touch_4_3_3_1_15th_5_sacred_oath_feature_4_3_3_2_16th_5_ability_score_improvement_4_3_3_2_17th_6_4_3_3_3_1_18th_6_aura_improvements_4_3_3_3_1_19th_6_ability_score_improvement_4_3_3_3_2_20th_6_sacred_oath_feature_4_3_3_3_2_divine_sense_the_presence_of_strong_evil_registers_on_your_senses_like_a_noxious_odor,powerful_good_rings_like_heavenly_music_in_your_ears",3,"4,8,12,16,19"
ranger,Ranger,,,,,d10,,"str,dex",half,wis,3,"animal_handling,athletics,insight,investigation,nature,perception,stealth,survival_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_scale_mail,leather_armor_two_shortswords,two_simple_melee_weapons_a_dungeoneers_pack,an_explorers_pack_a_longbow,a_quiver_of_20_arrows_the_ranger_proficiency_spell_slots_per_spell_level_level_bonus_features_spells_known_1st_2nd_3rd_4_t_h_5th_1st_2_favored_enemy,natural_explorer_2nd_2_fighting_style,spellcasting_2_2_3rd_2_ranger_archetype,primeval_awareness_3_3_4th_2_ability_score_improvement_3_3_5th_3_extra_attack_4_4_2_6th_3_favored_enemy,natural_explorer_improvements_4_4_2_7th_3_ranger_archetype_feature_5_4_3_8th_3_ability_score_improvement,land_s_stride_5_4_3_9th_4_6_4_3_2_10th_4_natural_explorer_improvement,hide_in_plain_sight_6_4_3_2_11th_4_ranger_archetype_feature_7_4_3_3_12th_4_ability_score_improvement_7_4_3_3_13th_5_8_4_3_3_1_14th_5_favored_enemy_improvement,vanish_8_4_3_3_1_15th_5_ranger_archetype_feature_9_4_3_3_2_16th_5_ability_score_improvement_9_4_3_3_2_17th_6_10_4_3_3_3_1_18th_6_feral_senses_10_4_3_3_3_1_19th_6_ability_score_improvement_11_4_3_3_3_2_20th_6_foe_slayer_11_4_3_3_3_2_favored_enemy_beginning_at_1st_level,you_have_significant_experience_studying,tracking,hunting,even_talking_to_a_certain_type_of_enemy",3,"4,8,12,16,19"
rogue,Rogue,,,,,d8,,"dex,int",none,,4,"acrobatics,athletics,deception,insight,intimidation,investigation,perception,performance,persuasion,sleight_of_hand,stealth_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_rapier,a_shortsword_a_shortbow,quiver_of_20_arrows,a_shortsword_a_burglars_pack,a_dungeoneers_pack,an_explorers_pack_leather_armor,two_daggers,thieves_tools_the_rogue_level_proficiency_bonus_sneak_attack_features_1st_2_1d6_expertise,sneak_attack,thieves_cant_2nd_2_1d6_cunning_action_3rd_2_2d6_roguish_archetype_4th_2_2d6_ability_score_improvement_5th_3_3d6_uncanny_dodge_6th_3_3d6_expertise_7th_3_4d6_evasion_8th_3_4d6_ability_score_improvement_9th_4_5d6_roguish_archetype_feature_10th_4_5d6_ability_score_improvement_11th_4_6d6_reliable_talent_12th_4_6d6_ability_score_improvement_13th_5_7d6_roguish_archetype_feature_14th_5_7d6_blindsense_15th_5_8d6_slippery_mind_16th_5_8d6_ability_score_improvement_17th_6_9d6_roguish_archetype_feature_18th_6_9d6_elusive_19th_6_10d6_ability_score_improvement_20th_6_10d6_stroke_of_luck_expertise_at_1st_level,choose_two_of_your_skill_proficiencies,one_of_your_skill_proficiencies,your_proficiency_with_thieves_tools",3,"4,8,10,12,16,19"
sorcerer,Sorcerer,,,,,d6,,"con,cha",full,cha,2,"arcana,deception,insight,intimidation,persuasion,religion_equipment_you_start_with_the_following_equipment,in_addition_to_the_equipment_granted_by_your_background_a_light_crossbow,20_bolts,any_simple_weapon_a_component_pouch,an_arcane_focus_a_dungeoneers_pack,an_explorers_pack_two_daggers_the_sorcerer_proficiency_sorcery_cantrips_spells_spell_slots_p_er_spell_level_level_bonus_points_features_known_known_1st_2nd_3rd_4th_5th_6th_7th_8th_9th_1st_2_spellcasting,sorcerous_origin_4_2_2_2nd_2_2_font_of_magic_4_3_3_3rd_2_3_metamagic_4_4_4_2_4th_2_4_ability_score_improvement_5_5_4_3_5th_3_5_5_6_4_3_2_6th_3_6_sorcerous_origin_feature_5_7_4_3_3_7th_3_7_5_8_4_3_3_1_8th_3_8_ability_score_improvement_5_9_4_3_3_2_9th_4_9_5_10_4_3_3_3_1_10th_4_10_metamagic_6_11_4_3_3_3_2_11th_4_11_6_12_4_3_3_3_2_1_12th_4_12_ability_score_improvement_6_12_4_3_3_3_2_1_13th_5_13_6_13_4_3_3_3_2_1_1_14th_5_14_sorcerous_origin_feature_6_13_4_3_3_3_2_1_1_15th_5_15_6_14_4_3_3_3_2_1_1_1_16th_5_16_ability_score_improvement_6_14_4_3_3_3_2_1_1_1_17th_6_17_metamagic_6_15_4_3_3_3_2_1_1_1_1_18th_6_18_sorcerous_origin_feature_6_15_4_3_3_3_3_1_1_1_1_19th_6_19_ability_score_improvement_6_15_4_3_3_3_3_2_1_1_1_20th_6_20_sorcerous_restoration_6_15_4_3_3_3_3_2_2_1_1_spellcasting_an_event_in_your_past,in_the_life_of_a_parent,ancestor,left_an_indelible_mark_on_you,infusing_you_with_arcane_magic",1,"4,8,12,16,19"
