#content-hash: xxh64:cd8108fdfb9ae0b2
#content-source: SRD 5.1
#content-systems: 5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-fd37-7903-ba00-ccfa91d6c74d
#content-updated_at: 2026-08-27
#content-schema: 1
id,effects,class_id,name_en,name_uk,text_en,text_uk
pathoftheberserker,,barbarian,PathoftheBerserker,,,
collegeoflore,,bard,CollegeofLore,,,
lifedomain,,cleric,LifeDomain,,,
circleoftheland,,druid,CircleoftheLand,,,
champion,,fighter,Champion,,,
wayoftheopenhand,,monk,WayoftheOpenHand,,,
oathofdevotion,,paladin,OathofDevotion,,,
hunter,,ranger,Hunter,,,
thief,,rogue,Thief,,,
draconicbloodline,,sorcerer,DraconicBloodline,,,
thefiend,,warlock,TheFiend,,,
schoolofevocation,,wizard,SchoolofEvocation,,,
