#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-f9e9-7ad8-b3a8-4511aa623e30
#content-updated_at: 2026-07-21
#content-hash: xxh64:ce1171d84f111c48
id,name_en,name_uk,text_en,text_uk,effects,class_id,level,resource,subclass_id
barbarian_rage,Rage,,"You can imbue yourself with a primal power called Rage, a force that grants you extraordinary might and resilience. You can enter it as a Bonus Action if you aren't wearing Heavy armor.
You can enter your Rage the number of times shown for your Barbarian level in the Rages column of the Barbarian Features table. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.
While active, your Rage follows the rules below.
_Damage Resistance._ You have Resistance to Bludgeoning, Piercing, and Slashing damage.
_Rage Damage._ When you make an attack using Strength—with either a weapon or an Unarmed Strike—and deal damage to the target, you gain a bonus to the damage that increases as you gain levels as a Barbarian, as shown in the Rage Damage column of the Barbarian Features table.
_Strength Advantage._ You have Advantage on Strength checks and Strength saving throws.
_No Concentration or Spells._ You can't maintain Concentration, and you can't cast spells.
_Duration._ The Rage lasts until the end of your next turn, and it ends early if you don Heavy armor or have the Incapacitated condition. If your Rage is still active on your next turn, you can extend the Rage for another round by doing one of the following:
- Make an attack roll against an enemy.
- Force an enemy to make a saving throw.
- Take a Bonus Action to extend your Rage.
Each time the Rage is extended, it lasts until the end of your next turn. You can maintain a Rage for up to 10 minutes.",,"grant_resource:rage:step(class_level.barbarian, 1->2, 3->3, 6->4, 12->5, 17->6):long",barbarian,1,,
barbarian_unarmored_defense,Unarmored Defense,,"While you aren't wearing any armor, your base Armor Class equals 10 plus your Dexterity and Constitution modifiers. You can use a Shield and still gain this benefit.",,,barbarian,1,,
barbarian_weapon_mastery,Weapon Mastery,,"Your training with weapons allows you to use the mastery properties of two kinds of Simple or Martial Melee weapons of your choice, such as Greataxes and Handaxes. Whenever you finish a Long Rest, you can practice weapon drills and change one of those weapon choices.
When you reach certain Barbarian levels, you gain the ability to use the mastery properties of more kinds of weapons, as shown in the Weapon Mastery column of the Barbarian Features table.",,,barbarian,1,,
barbarian_danger_sense,Danger Sense,,"You gain an uncanny sense of when things aren't as they should be, giving you an edge when you dodge perils. You have Advantage on Dexterity saving throws unless you have the Incapacitated condition.",,,barbarian,2,,
barbarian_reckless_attack,Reckless Attack,,"You can throw aside all concern for defense to attack with increased ferocity. When you make your first attack roll on your turn, you can decide to attack recklessly. Doing so gives you Advantage on attack rolls using Strength until the start of your next turn, but attack rolls against you have Advantage during that time.",,,barbarian,2,,
barbarian_barbarian_subclass,Barbarian Subclass,,"You gain a Barbarian subclass of your choice. The Path of the Berserker subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Barbarian levels. For the rest of your career, you gain each of your subclass's features that are of your Barbarian level or lower.",,,barbarian,3,,
barbarian_primal_knowledge,Primal Knowledge,,"You gain proficiency in another skill of your choice from the skill list available to Barbarians at level 1.
In addition, while your Rage is active, you can channel primal power when you attempt certain tasks; whenever you make an ability check using one of the following skills, you can make it as a Strength check even if it normally uses a different ability: Acrobatics, Intimidation, Perception, Stealth, or Survival. When you use this ability, your Strength represents primal power coursing through you, honing your agility, bearing, and senses.",,,barbarian,3,,
barbarian_ability_score_improvement,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Barbarian levels 8, 12, and 16.",,,barbarian,4,,
barbarian_extra_attack,Extra Attack,,You can attack twice instead of once whenever you take the Attack action on your turn.,,,barbarian,5,,
barbarian_fast_movement,Fast Movement,,Your speed increases by 10 feet while you aren't wearing Heavy armor.,,,barbarian,5,,
barbarian_feral_instinct,Feral Instinct,,Your instincts are so honed that you have Advantage on Initiative rolls.,,,barbarian,7,,
barbarian_instinctive_pounce,Instinctive Pounce,,"As part of the Bonus Action you take to enter your Rage, you can move up to half your Speed.",,,barbarian,7,,
barbarian_brutal_strike,Brutal Strike,,"If you use Reckless Attack, you can forgo any Advantage on one Strength-based attack roll of your choice on your turn. The chosen attack roll mustn't have Disadvantage. If the chosen attack roll hits, the target takes an extra 1d10 damage of the same type dealt by the weapon or Unarmed Strike, and you can cause one Brutal Strike effect of your choice. You have the following effect options.
_Forceful Blow._ The target is pushed 15 feet straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks.
_Hamstring Blow._ The target's Speed is reduced by 15 feet until the start of your next turn. A target can be affected by only one Hamstring Blow at a time—the most recent one.",,,barbarian,9,,
barbarian_relentless_rage,Relentless Rage,,"Your Rage can keep you fighting despite grievous wounds. If you drop to 0 Hit Points while your Rage is active and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, your Hit Points instead change to a number equal to twice your Barbarian level.
Each time you use this feature after the first, the DC increases by 5. When you finish a Short or Long Rest, the DC resets to 10.",,,barbarian,11,,
barbarian_improved_brutal_strike,Improved Brutal Strike,,"You have honed new ways to attack furiously. The following effects are now among your Brutal Strike options.
_Staggering Blow._ The target has Disadvantage on the next saving throw it makes, and it can't make Opportunity Attacks until the start of your next turn.
_Sundering Blow._ Before the start of your next turn, the next attack roll made by another creature against the target gains a +5 bonus to the roll. An attack roll can gain only one Sundering Blow bonus.",,,barbarian,13,,
barbarian_persistent_rage,Persistent Rage,,"When you roll Initiative, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a Long Rest.
In addition, your Rage is so fierce that it now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the Unconscious condition (not just the Incapacitated condition) or don Heavy armor.",,,barbarian,15,,
barbarian_improved_brutal_strike_2,Improved Brutal Strike,,"The extra damage of your Brutal Strike increases to 2d10. In addition, you can use two different Brutal Strike effects whenever you use your Brutal Strike feature.",,,barbarian,17,,
barbarian_indomitable_might,Indomitable Might,,"If your total for a Strength check or Strength saving throw is less than your Strength score, you can use that score in place of the total.",,,barbarian,18,,
barbarian_epic_boon,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Irresistible Offense is recommended.",,,barbarian,19,,
barbarian_primal_champion,Primal Champion,,"You embody primal power. Your Strength and Constitution scores increase by 4, to a maximum of 25.",,,barbarian,20,,
path_of_the_berserker_frenzy,Frenzy,,"If you use Reckless Attack while your Rage is active, you deal extra damage to the first target you hit on your turn with a Strength-based attack. To determine the extra damage, roll a number of d6s equal to your Rage Damage bonus, and add them together. The damage has the same type as the weapon or Unarmed Strike used for the attack.",,,barbarian,3,,path_of_the_berserker
path_of_the_berserker_mindless_rage,Mindless Rage,,"You have Immunity to the Charmed and Frightened conditions while your Rage is active. If you're Charmed or Frightened when you enter your Rage, the condition ends on you.",,,barbarian,6,,path_of_the_berserker
path_of_the_berserker_retaliation,Retaliation,,"When you take damage from a creature that is within 5 feet of you, you can take a Reaction to make one melee attack against that creature, using a weapon or an Unarmed Strike.",,,barbarian,10,,path_of_the_berserker
path_of_the_berserker_intimidating_presence,Intimidating Presence,,"As a Bonus Action, you can strike terror into others with your menacing presence and primal power. When you do so, each creature of your choice in a 30-foot Emanation originating from you must make a Wisdom saving throw (DC 8 plus your Strength modifier and Proficiency Bonus). On a failed save, a creature has the Frightened condition for 1 minute. At the end of each of the Frightened creature's turns, the creature repeats the save, ending the effect on itself on a success.
Once you use this feature, you can't use it again until you finish a Long Rest unless you expend a use of your Rage (no action required) to restore your use of it.",,,barbarian,14,,path_of_the_berserker
bard_bardic_inspiration,Bardic Inspiration,,"You can supernaturally inspire others through words, music, or dance. This inspiration is represented by your Bardic Inspiration die, which is a d6.
_Using Bardic Inspiration._ As a Bonus Action, you can inspire another creature within 60 feet of yourself who can see or hear you. That creature gains one of your Bardic Inspiration dice. A creature can have only one Bardic Inspiration die at a time.
Once within the next hour when the creature fails a D20 Test, the creature can roll the Bardic Inspiration die and add the number rolled to the d20, potentially turning the failure into a success. A Bardic Inspiration die is expended when it's rolled.
_Number of Uses._ You can confer a Bardic Inspiration die a number of times equal to your Charisma modifier (minimum of once), and you regain all expended uses when you finish a Long Rest.
_At Higher Levels._ Your Bardic Inspiration die changes when you reach certain Bard levels, as shown in the Bardic Die column of the Bard Features table. The die becomes a d8 at level 5, a d10 at level 10, and a d12 at level 15.",,"grant_roll:bardic_inspiration:1d step(class_level.bard, 1->6, 5->8, 10->10, 15->12)",bard,1,,
bard_spellcasting,Spellcasting,,"You have learned to cast spells through your bardic arts. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Bard spells, which appear in the Bard spell list later in the class's description.
_Cantrips._ You know two cantrips of your choice from the Bard spell list. _Dancing Lights_ and _Vicious Mockery_ are recommended.
Whenever you gain a Bard level, you can replace one of your cantrips with another cantrip of your choice from the Bard spell list.
When you reach Bard levels 4 and 10, you learn another cantrip of your choice from the Bard spell list, as shown in the Cantrips column of the Bard Features table.
_Spell Slots._ The Bard Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Bard spell list. _Charm Person_, _Color Spray_, _Dissonant Whispers_, and _Healing Word_ are recommended.
The number of spells on your list increases as you gain Bard levels, as shown in the Prepared Spells column of the Bard Features table. Whenever that number increases, choose additional spells from the Bard spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Bard, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Bard feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Bard spells for you.
_Changing Your Prepared Spells._ Whenever you gain a Bard level, you can replace one spell on your list with another Bard spell for which you have spell slots.
_Spellcasting Ability._ Charisma is your spellcasting ability for your Bard spells.
_Spellcasting Focus._ You can use a Musical Instrument as a Spellcasting Focus for your Bard spells.",,,bard,1,,
bard_expertise,Expertise,,"You gain Expertise (see ""Rules Glossary"") in two of your skill proficiencies of your choice. Performance and Persuasion are recommended if you have proficiency in them.
At Bard level 9, you gain Expertise in two more of your skill proficiencies of your choice.",,,bard,2,,
bard_jack_of_all_trades,Jack of All Trades,,"You can add half your Proficiency Bonus (round down) to any ability check you make that uses a skill proficiency you lack and that doesn't otherwise use your Proficiency Bonus.
For example, if you make a Strength (Athletics) check and lack Athletics proficiency, you can add half your Proficiency Bonus to the check.",,,bard,2,,
bard_bard_subclass,Bard Subclass,,"You gain a Bard subclass of your choice. The College of Lore subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Bard levels. For the rest of your career, you gain each of your subclass's features that are of your Bard level or lower.",,,bard,3,,
bard_ability_score_improvement,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Bard levels 8, 12, and 16.",,,bard,4,,
bard_font_of_inspiration,Font of Inspiration,,"You now regain all your expended uses of Bardic Inspiration when you finish a Short or Long Rest.
In addition, you can expend a spell slot (no action required) to regain one expended use of Bardic Inspiration.",,,bard,5,,
bard_countercharm,Countercharm,,"You can use musical notes or words of power to disrupt mind-influencing effects. If you or a creature within 30 feet of you fails a saving throw against an effect that applies the Charmed or Frightened condition, you can take a Reaction to cause the save to be rerolled, and the new roll has Advantage.",,,bard,7,,
bard_magical_secrets,Magical Secrets,,"You've learned secrets from various magical traditions. Whenever you reach a Bard level (including this level) and the Prepared Spells number in the Bard Features table increases, you can choose any of your new prepared spells from the Bard, Cleric, Druid, and Wizard spell lists, and the chosen spells count as Bard spells for you (see a class's section for its spell list). In addition, whenever you replace a spell prepared for this class, you can replace it with a spell from those lists.",,,bard,10,,
bard_superior_inspiration,Superior Inspiration,,"When you roll Initiative, you regain expended uses of Bardic Inspiration until you have two if you have fewer than that.",,,bard,18,,
bard_epic_boon,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Spell Recall is recommended.",,,bard,19,,
bard_words_of_creation,Words of Creation,,"You have mastered two of the Words of Creation: the words of life and death. You therefore always have the _Power Word Heal_ and _Power Word Kill_ spells prepared. When you cast either spell, you can target a second creature with it if that creature is within 10 feet of the first target.",,,bard,20,,
college_of_lore_bonus_proficiencies,Bonus Proficiencies,,You gain proficiency with three skills of your choice.,,,bard,3,,college_of_lore
