#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-f968-7fd0-88fc-dbf43af3ecc8
#content-updated-at: 2026-07-16
#content-hash: xxh64:daae95bee9b4dcd8
id,name_en,name_uk,text_en,text_uk,effects,category,prereq,repeatable
alert,Alert,,"_Origin Feat_
You gain the following benefits.
_Initiative Proficiency._ When you roll Initiative, you can add your Proficiency Bonus to the roll.
_Initiative Swap._ Immediately after you roll Initiative, you can swap your Initiative with the Initiative of one willing ally in the same combat. You can't make this swap if you or the ally has the Incapacitated condition.",,,origin,,false
magic_initiate,Magic Initiate,,"_Origin Feat_
You gain the following benefits.
_Two Cantrips._ You learn two cantrips of your choice from the Cleric, Druid, or Wizard spell list. Intelligence, Wisdom, or Charisma is your spellcasting ability for this feat's spells (choose when you select this feat).
_Level 1 Spell._ Choose a level 1 spell from the same list you selected for this feat's cantrips. You always have that spell prepared. You can cast it once without a spell slot, and you regain the ability to cast it in that way when you finish a Long Rest. You can also cast the spell using any spell slots you have.
_Spell Change._ Whenever you gain a new level, you can replace one of the spells you chose for this feat with a different spell of the same level from the chosen spell list.
_Repeatable._ You can take this feat more than once, but you must choose a different spell list each time.",,,origin,,true
savage_attacker,Savage Attacker,,"_Origin Feat_
You've trained to deal particularly damaging strikes. Once per turn when you hit a target with a weapon, you can roll the weapon's damage dice twice and use either roll against the target.",,,origin,,false
skilled,Skilled,,"_Origin Feat_
You gain proficiency in any combination of three skills or tools of your choice.
_Repeatable._ You can take this feat more than once.",,,origin,,true
ability_score_improvement,Ability Score Improvement,,"_General Feat (Prerequisite: Level 4+)_
Increase one ability score of your choice by 2, or increase two ability scores of your choice by 1. This feat can't increase an ability score above 20.
_Repeatable._ You can take this feat more than once.",,,general,Level 4+,true
grappler,Grappler,,"_General Feat (Prerequisite: Level 4+, Strength or Dexterity 13+)_
You gain the following benefits.
_Ability Score Increase._ Increase your Strength or Dexterity score by 1, to a maximum of 20.
_Punch and Grab._ When you hit a creature with an Unarmed Strike as part of the Attack action on your turn, you can use both the Damage and the Grapple option. You can use this benefit only once per turn.
_Attack Advantage._ You have Advantage on attack rolls against a creature Grappled by you.
_Fast Wrestler._ You don't have to spend extra movement to move a creature Grappled by you if the creature is your size or smaller.",,,general,"Level 4+, Strength or Dexterity 13+",false
archery,Archery,,"_Fighting Style Feat (Prerequisite: Fighting Style Feature)_
You gain a +2 bonus to attack rolls you make with Ranged weapons.",,,fighting_style,Fighting Style Feature,false
defense,Defense,,"_Fighting Style Feat (Prerequisite: Fighting Style Feature)_
While you're wearing Light, Medium, or Heavy armor, you gain a +1 bonus to Armor Class.",,,fighting_style,Fighting Style Feature,false
great_weapon_fighting,Great Weapon Fighting,,"_Fighting Style Feat (Prerequisite: Fighting Style Feature)_
When you roll damage for an attack you make with a Melee weapon that you are holding with two hands, you can treat any 1 or 2 on a damage die as a 3. The weapon must have the Two-Handed or Versatile property to gain this benefit.",,,fighting_style,Fighting Style Feature,false
two_weapon_fighting,Two-Weapon Fighting,,"_Fighting Style Feat (Prerequisite: Fighting Style Feature)_
When you make an extra attack as a result of using a weapon that has the Light property, you can add your ability modifier to the damage of that attack if you aren't already adding it to the damage.",,,fighting_style,Fighting Style Feature,false
