#content-hash: xxh64:4d9e59ddc86aede7
#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f98cf-c0ad-776a-9f39-71aa2af270d9
#content-updated_at: 2026-08-27
#content-schema: 1
id,category,speakers,script,effects,name_en,name_uk,text_en,text_uk
common,standard,,,,Common,,,
common_sign_language,standard,,,,Common Sign Language,,,
draconic,standard,,,,Draconic,,,
dwarvish,standard,,,,Dwarvish,,,
elvish,standard,,,,Elvish,,,
giant,standard,,,,Giant,,,
gnomish,standard,,,,Gnomish,,,
goblin,standard,,,,Goblin,,,
halfling,standard,,,,Halfling,,,
orc,standard,,,,Orc,,,
abyssal,rare,,,,Abyssal,,,
primordial,rare,,,,Primordial,,"Primordial includes the Aquan, Auran, Ignan, and Terran dialects. Creatures that know one of these dialects can communicate with those that know a different one.",
celestial,rare,,,,Celestial,,,
sylvan,rare,,,,Sylvan,,,
deep_speech,rare,,,,Deep Speech,,,
thieves_cant,rare,,,,Thieves' Cant,,,
druidic,rare,,,,Druidic,,,
undercommon,rare,,,,Undercommon,,,
infernal,rare,,,,Infernal,,,
