#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-fb3a-7a28-894a-aedc0dd1440a
#content-updated-at: 2026-07-16
#content-hash: xxh64:dd9098d0cd39dc2e
id,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,initiative,hp,hp_formula,speed,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,cr,resistances,immunities,vulnerabilities,gear,senses,languages,skills
aboleth,Aboleth,,"#### Traits

<hr>

**_Amphibious._** The aboleth can breathe air and water.

**_Eldritch Restoration._** If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the GM.

**_Legendary Resistance (3/Day, or 4/Day in Lair)._** If the aboleth fails a saving throw, it can choose to succeed instead.

**_Mucus Cloud._** While underwater, the aboleth is surrounded by mucus. _Constitution Saving Throw:_ DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. _Failure:_ The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater.
 While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.

**_Probing Telepathy._** If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.

#### Actions

<hr>

**_Multiattack._** The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.

**_Tentacle._** _Melee Attack Roll:_ +9, reach 15 ft. _Hit:_ 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.

**_Consume Memories._** _Intelligence Saving Throw:_ DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. _Failure:_ 10 (3d6) Psychic damage.
 _Success:_ Half damage. _Failure or Success:_ The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.

**_Dominate Mind (2/Day)._** _Wisdom Saving Throw:_ DC 16, one creature the aboleth can see within 30 feet. _Failure:_ The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance.
 The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.

#### Legendary Actions

<hr>

_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the aboleth can expend a use to take one of the following actions. The aboleth regains all expended uses at the start of each of its turns._

**_Lash._** The aboleth makes one Tentacle attack.

**_Psychic Drain._** If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.",,,large,aberration,Lawful Evil,17,+7 (17),150,20d10 + 40,"10 ft., Swim 40 ft.",21,9,15,18,15,18,5,3,6,8,6,4,10,,,,,Darkvision 120 ft.; Passive Perception 20,Deep Speech; telepathy 120 ft.,"History +12, Perception +10"
air_elemental,Air Elemental,,"#### Traits

<hr>

**_Air Form._** The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.

#### Actions

<hr>

**_Multiattack._** The elemental makes two Thunderous Slam attacks.

**_Thunderous Slam._** _Melee Attack Roll:_ +8, reach 10 ft. _Hit:_ 14 (2d8 + 5) Thunder damage.

**_Whirlwind (Recharge 4–6)._** _Strength Saving Throw:_ DC 13, one Medium or smaller creature in the elemental's space. _Failure:_ 24 (4d10 + 2) Thunder damage, and the target is pushed up to 20 feet straight away from the elemental and has the Prone condition. _Success:_ Half damage only.",,,large,elemental,Neutral,15,+5 (15),90,12d10 + 24,"10 ft., Fly 90 ft. (hover)",14,20,14,6,10,6,2,5,2,-2,0,-2,5,"Bludgeoning, Lightning, Piercing, Slashing","Poison, Thunder; Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",,,Darkvision 60 ft.; Passive Perception 10,Primordial (Auran),
animated_armor,Animated Armor,,"#### Actions

<hr>

**_Multiattack._** The armor makes two Slam attacks.

**_Slam._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Bludgeoning damage.",,,medium,construct,Unaligned,18,+2 (12),33,6d8 + 6,25 ft.,14,11,13,1,3,1,2,0,1,-5,-4,-5,1,,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,Blindsight 60 ft.; Passive Perception 6,None,
animated_flying_sword,Animated Flying Sword,,"#### Actions

<hr>

**_Slash._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 6 (1d8 + 2) Slashing damage.",,,small,construct,Unaligned,17,+4 (14),14,4d6,"5 ft., Fly 50 ft. (hover)",12,15,11,1,5,1,1,4,0,-5,-3,-5,1/4,,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,Blindsight 60 ft.; Passive Perception 7,None,
animated_rug_of_smothering,Animated Rug of Smothering,,"#### Actions

<hr>

**_Smother._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 10 (2d6 + 3) Bludgeoning damage. If the target is a Medium or smaller creature, the rug can give it the Grappled condition (escape DC 13) instead of dealing damage. Until the grapple ends, the target has the Blinded and Restrained conditions, is suffocating, and takes 10 (2d6 + 3) Bludgeoning damage at the start of each of its turns. The rug can smother only one creature at a time.
 While grappling the target, the rug can't take this action, the rug halves the damage it takes (round down), and the target takes the same amount of damage.",,,large,construct,Unaligned,12,+4 (14),27,5d10,10 ft.,17,14,10,1,3,1,3,2,0,-5,-4,-5,2,,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",,,Blindsight 60 ft.; Passive Perception 6,None,
ankheg,Ankheg,,"#### Traits

<hr>

**_Tunneler._** The ankheg can burrow through solid rock at half its Burrow Speed and leaves a 10-foot-diameter tunnel in its wake.

#### Actions

<hr>

**_Bite._** _Melee Attack Roll:_ +5 (with Advantage if the target is Grappled by the ankheg), reach 5 ft. _Hit:_ 10 (2d6 + 3) Slashing damage plus 3 (1d6) Acid damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 13).

**_Acid Spray (Recharge 6)._** _Dexterity Saving Throw:_ DC 12, each creature in a 30-foot-long, 5-foot-wide Line. _Failure:_ 14 (4d6) Acid damage. _Success:_ Half damage.",,,large,monstrosity,Unaligned,14,+0 (10),45,6d10 + 12,"30 ft., Burrow 10 ft.",17,11,14,1,13,6,3,0,2,-5,1,-2,2,,,,,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 11",None,
assassin,Assassin,,"#### Traits

<hr>

**_Evasion._** If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the save and only half damage if it fails. It can't use this trait if it has the Incapacitated condition.

#### Actions

<hr>

**_Multiattack._** The assassin makes three attacks, using Shortsword or Light Crossbow in any combination.

**_Shortsword._** _Melee Attack Roll:_ +7, reach 5 ft. _Hit:_ 7 (1d6 + 4) Piercing damage plus 17 (5d6) Poison damage, and the target has the Poisoned condition until the start of the assassin's next turn.

**_Light Crossbow._** _Ranged Attack Roll:_ +7, range 80/320 ft. _Hit:_ 8 (1d8 + 4) Piercing damage plus 21 (6d6) Poison damage.

#### Bonus Actions

<hr>

**_Cunning Action._** The assassin takes the Dash, Disengage, or Hide action.",,,medium,or small humanoid,Neutral,16,+10 (20),97,15d8 + 30,30 ft.,11,18,14,16,11,10,0,7,2,6,0,0,8,Poison,,,"Light Crossbow, Shortsword, Studded Leather Armor",Passive Perception 16,"Common, Thieves' Cant","Acrobatics +7, Perception +6, Stealth +10"
awakened_shrub,Awakened Shrub,,"#### Actions

<hr>

**_Rake._** _Melee Attack Roll:_ +1, reach 5 ft. _Hit:_ 1 Slashing damage.",,,small,plant,Neutral,9,−1 (9),10,3d6,20 ft.,3,8,11,10,10,6,-4,-1,0,0,0,-2,0,Piercing,,Fire,,Passive Perception 10,Common plus one other language,
awakened_tree,Awakened Tree,,"#### Actions

<hr>

**_Slam._** _Melee Attack Roll:_ +6, reach 10 ft. _Hit:_ 14 (3d6 + 4) Bludgeoning damage.",,,huge,plant,Neutral,13,−2 (8),59,7d12 + 14,20 ft.,19,6,15,10,10,7,4,-2,2,0,0,-2,2,"Bludgeoning, Piercing",,Fire,,Passive Perception 10,Common plus one other language,
axe_beak,Axe Beak,,"#### Actions

<hr>

**_Beak._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 6 (1d8 + 2) Slashing damage.",,,large,monstrosity,Unaligned,11,+1 (11),19,3d10 + 3,50 ft.,14,12,12,2,10,5,2,1,1,-4,0,-3,1/4,,,,,Passive Perception 10,None,
