#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-fbad-7493-9aaa-af4f4e471469
#content-updated_at: 2026-07-16
#content-hash: xxh64:b56bcb06165d74ff
id,kind,level,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9
full_1,full,1,2,0,0,0,0,0,0,0,0
full_2,full,2,3,0,0,0,0,0,0,0,0
full_3,full,3,4,2,0,0,0,0,0,0,0
full_4,full,4,4,3,0,0,0,0,0,0,0
full_5,full,5,4,3,2,0,0,0,0,0,0
full_6,full,6,4,3,3,0,0,0,0,0,0
full_7,full,7,4,3,3,1,0,0,0,0,0
full_8,full,8,4,3,3,2,0,0,0,0,0
full_9,full,9,4,3,3,3,1,0,0,0,0
full_10,full,10,4,3,3,3,2,0,0,0,0
full_11,full,11,4,3,3,3,2,1,0,0,0
full_12,full,12,4,3,3,3,2,1,0,0,0
full_13,full,13,4,3,3,3,2,1,1,0,0
full_14,full,14,4,3,3,3,2,1,1,0,0
full_15,full,15,4,3,3,3,2,1,1,1,0
full_16,full,16,4,3,3,3,2,1,1,1,0
full_17,full,17,4,3,3,3,2,1,1,1,1
full_18,full,18,4,3,3,3,3,1,1,1,1
full_19,full,19,4,3,3,3,3,2,1,1,1
full_20,full,20,4,3,3,3,3,2,2,1,1
half_1,half,1,2,0,0,0,0,0,0,0,0
half_2,half,2,2,0,0,0,0,0,0,0,0
half_3,half,3,3,0,0,0,0,0,0,0,0
half_4,half,4,3,0,0,0,0,0,0,0,0
half_5,half,5,4,2,0,0,0,0,0,0,0
half_6,half,6,4,2,0,0,0,0,0,0,0
half_7,half,7,4,3,0,0,0,0,0,0,0
half_8,half,8,4,3,0,0,0,0,0,0,0
half_9,half,9,4,3,2,0,0,0,0,0,0
half_10,half,10,4,3,2,0,0,0,0,0,0
half_11,half,11,4,3,3,0,0,0,0,0,0
half_12,half,12,4,3,3,0,0,0,0,0,0
half_13,half,13,4,3,3,1,0,0,0,0,0
half_14,half,14,4,3,3,1,0,0,0,0,0
half_15,half,15,4,3,3,2,0,0,0,0,0
half_16,half,16,4,3,3,2,0,0,0,0,0
half_17,half,17,4,3,3,3,1,0,0,0,0
half_18,half,18,4,3,3,3,1,0,0,0,0
half_19,half,19,4,3,3,3,2,0,0,0,0
half_20,half,20,4,3,3,3,2,0,0,0,0
pact_1,pact,1,1,0,0,0,0,0,0,0,0
pact_2,pact,2,2,0,0,0,0,0,0,0,0
pact_3,pact,3,0,2,0,0,0,0,0,0,0
pact_4,pact,4,0,2,0,0,0,0,0,0,0
pact_5,pact,5,0,0,2,0,0,0,0,0,0
pact_6,pact,6,0,0,2,0,0,0,0,0,0
pact_7,pact,7,0,0,0,2,0,0,0,0,0
pact_8,pact,8,0,0,0,2,0,0,0,0,0
pact_9,pact,9,0,0,0,0,2,0,0,0,0
pact_10,pact,10,0,0,0,0,2,0,0,0,0
pact_11,pact,11,0,0,0,0,3,0,0,0,0
pact_12,pact,12,0,0,0,0,3,0,0,0,0
pact_13,pact,13,0,0,0,0,3,0,0,0,0
pact_14,pact,14,0,0,0,0,3,0,0,0,0
pact_15,pact,15,0,0,0,0,3,0,0,0,0
pact_16,pact,16,0,0,0,0,3,0,0,0,0
pact_17,pact,17,0,0,0,0,4,0,0,0,0
pact_18,pact,18,0,0,0,0,4,0,0,0,0
pact_19,pact,19,0,0,0,0,4,0,0,0,0
pact_20,pact,20,0,0,0,0,4,0,0,0,0
