id,systems,source,name_en,name_uk,text_en,text_uk,effects,category,item_type,cost,weight_lb,properties,damage,damage_type,range,ac,armor_dex_cap,str_min,stealth_disadvantage,attunement,rarity
dagger,"5e,5.5e",SRD,Dagger,Кинджал,,,,weapon,simple melee,2 gp,1,"finesse,light,thrown",1d4,piercing,20/60,,,,false,false,
shortsword,"5e,5.5e",SRD,Shortsword,Короткий меч,,,,weapon,martial melee,10 gp,2,"finesse,light",1d6,piercing,,,,,false,false,
longsword,"5e,5.5e",SRD,Longsword,Довгий меч,,,,weapon,martial melee,15 gp,3,versatile,1d8,slashing,,,,,false,false,
greatsword,"5e,5.5e",SRD,Greatsword,Дворучний меч,,,,weapon,martial melee,50 gp,6,"heavy,two-handed",2d6,slashing,,,,,false,false,
greataxe,"5e,5.5e",SRD,Greataxe,Дворучна сокира,,,,weapon,martial melee,30 gp,7,"heavy,two-handed",1d12,slashing,,,,,false,false,
rapier,"5e,5.5e",SRD,Rapier,Рапіра,,,,weapon,martial melee,25 gp,2,finesse,1d8,piercing,,,,,false,false,
handaxe,"5e,5.5e",SRD,Handaxe,Ручна сокира,,,,weapon,simple melee,5 gp,2,"light,thrown",1d6,slashing,20/60,,,,false,false,
mace,"5e,5.5e",SRD,Mace,Булава,,,,weapon,simple melee,5 gp,4,,1d6,bludgeoning,,,,,false,false,
quarterstaff,"5e,5.5e",SRD,Quarterstaff,Кий,,,,weapon,simple melee,2 sp,4,versatile,1d6,bludgeoning,,,,,false,false,
shortbow,"5e,5.5e",SRD,Shortbow,Короткий лук,,,,weapon,simple ranged,25 gp,2,"ammunition,two-handed",1d6,piercing,80/320,,,,false,false,
longbow,"5e,5.5e",SRD,Longbow,Довгий лук,,,,weapon,martial ranged,50 gp,2,"ammunition,heavy,two-handed",1d8,piercing,150/600,,,,false,false,
light-crossbow,"5e,5.5e",SRD,Light Crossbow,Легкий арбалет,,,,weapon,simple ranged,25 gp,5,"ammunition,loading,two-handed",1d8,piercing,80/320,,,,false,false,
heavy-crossbow,"5e,5.5e",SRD,Heavy Crossbow,Важкий арбалет,,,,weapon,martial ranged,50 gp,18,"ammunition,heavy,loading,two-handed",1d10,piercing,100/400,,,,false,false,
padded-armor,"5e,5.5e",SRD,Padded Armor,Стьобаний обладунок,,,,armor,light armor,5 gp,8,,,,,11,,,true,false,
leather-armor,"5e,5.5e",SRD,Leather Armor,Шкіряний обладунок,,,,armor,light armor,10 gp,10,,,,,11,,,false,false,
studded-leather,"5e,5.5e",SRD,Studded Leather,Клепаний шкіряний обладунок,,,,armor,light armor,45 gp,13,,,,,12,,,false,false,
hide-armor,"5e,5.5e",SRD,Hide Armor,Шкуряний обладунок,,,,armor,medium armor,10 gp,12,,,,,12,2,,false,false,
chain-shirt,"5e,5.5e",SRD,Chain Shirt,Кольчужна сорочка,,,,armor,medium armor,50 gp,20,,,,,13,2,,false,false,
scale-mail,"5e,5.5e",SRD,Scale Mail,Лускатий обладунок,,,,armor,medium armor,50 gp,45,,,,,14,2,,true,false,
breastplate,"5e,5.5e",SRD,Breastplate,Кіраса,,,,armor,medium armor,400 gp,20,,,,,14,2,,false,false,
half-plate,"5e,5.5e",SRD,Half Plate,Напівлати,,,,armor,medium armor,750 gp,40,,,,,15,2,,true,false,
ring-mail,"5e,5.5e",SRD,Ring Mail,Кільчастий обладунок,,,,armor,heavy armor,30 gp,40,,,,,14,0,,true,false,
chain-mail,"5e,5.5e",SRD,Chain Mail,Кольчуга,,,,armor,heavy armor,75 gp,55,,,,,16,0,13,true,false,
splint-armor,"5e,5.5e",SRD,Splint Armor,Шинований обладунок,,,,armor,heavy armor,200 gp,60,,,,,17,0,15,true,false,
plate-armor,"5e,5.5e",SRD,Plate Armor,Латний обладунок,,,,armor,heavy armor,1500 gp,65,,,,,18,0,15,true,false,
shield,"5e,5.5e",SRD,Shield,Щит,,,,shield,shield,10 gp,6,,,,,2,,,false,false,
backpack,"5e,5.5e",SRD,Backpack,Рюкзак,,,,gear,adventuring gear,2 gp,5,,,,,,,,false,false,
rope-hempen,"5e,5.5e",SRD,Rope (Hempen 50 ft),Мотузка (конопляна 50 фт),,,,gear,adventuring gear,1 gp,10,,,,,,,,false,false,
torch,"5e,5.5e",SRD,Torch,Смолоскип,,,,gear,adventuring gear,1 cp,1,,,,,,,,false,false,
rations,"5e,5.5e",SRD,Rations (1 day),Пайок (1 день),,,,gear,adventuring gear,5 sp,2,,,,,,,,false,false,
potion-of-healing,"5e,5.5e",SRD,Potion of Healing,Зілля зцілення,"Drink to regain 2d4 + 2 hit points.","Випий, щоб відновити 2d4 + 2 хітів.",grant-resource:heal,gear,potion,50 gp,0.5,,2d4+2,healing,,,,,false,false,common
cloak-of-protection,"5e,5.5e",SRD,Cloak of Protection,Плащ захисту,"You gain a +1 bonus to AC and saving throws while you wear this cloak.","Поки носиш плащ, отримуєш +1 до КЗ і рятівних кидків.",flat-bonus:ac+1;flat-bonus:saves+1,gear,wondrous item,,1,,,,,,,,false,true,uncommon
bag-of-holding,"5e,5.5e",SRD,Bag of Holding,Торба вмісткості,"An extradimensional space holds up to 500 lb in a 64-cubic-foot interior.","Позапросторова кишеня вміщує до 500 фунтів.",,gear,wondrous item,,15,,,,,,,,false,false,uncommon
