id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
aboleth,5.5e,SRD,Aboleth,,"_Large Aberration, Lawful Evil_
**AC** 17 **Initiative** +7 (17) 
**HP** 150 (20d10 + 40) 
**Speed** 10 ft., Swim 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 21 
 +5 
 +5 
 DEX 
 9 
 −1 
 +3 
 CON 
 15 
 +2 
 +6 
 
 
 INT 
 18 
 +4 
 +8 
 WIS 
 15 
 +2 
 +6 
 CHA 
 18 
 +4 
 +4 
 
 
 
**Skills** History +12, Perception +10 
**Senses** Darkvision 120 ft.; Passive Perception 20 
**Languages** Deep Speech; telepathy 120 ft. 
**CR** 10 (XP 5,900, or 7,200 in lair; PB +4)
#### Traits
 
**_Amphibious._** The aboleth can breathe air and water.
**_Eldritch Restoration._** If destroyed, the aboleth gains a new body in 5d10 days, reviving with all its Hit Points in the Far Realm or another location chosen by the GM.
**_Legendary Resistance (3/Day, or 4/Day in Lair)._** If the aboleth fails a saving throw, it can choose to succeed instead.
**_Mucus Cloud._** While underwater, the aboleth is surrounded by mucus. _Constitution Saving Throw:_ DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. _Failure:_ The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater. 
 While the cursed creature is outside a body of water, the creature takes 6 (1d12) Acid damage at the end of every 10 minutes unless moisture is applied to its skin before those minutes have passed.
**_Probing Telepathy._** If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires.
#### Actions
 
**_Multiattack._** The aboleth makes two Tentacle attacks and uses either Consume Memories or Dominate Mind if available.
**_Tentacle._** _Melee Attack Roll:_ +9, reach 15 ft. _Hit:_ 12 (2d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of four tentacles.
**_Consume Memories._** _Intelligence Saving Throw:_ DC 16, one creature within 30 feet that is Charmed or Grappled by the aboleth. _Failure:_ 10 (3d6) Psychic damage. 
 _Success:_ Half damage. _Failure or Success:_ The aboleth gains the target's memories if the target is a Humanoid and is reduced to 0 Hit Points by this action.
**_Dominate Mind (2/Day)._** _Wisdom Saving Throw:_ DC 16, one creature the aboleth can see within 30 feet. _Failure:_ The target has the Charmed condition until the aboleth dies or is on a different plane of existence from the target. While Charmed, the target acts as an ally to the aboleth and is under its control while within 60 feet of it. In addition, the aboleth and the target can communicate telepathically with each other over any distance. 
 The target repeats the save whenever it takes damage as well as after every 24 hours it spends at least 1 mile away from the aboleth, ending the effect on itself on a success.
#### Legendary Actions
 
_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the aboleth can expend a use to take one of the following actions. The aboleth regains all expended uses at the start of each of its turns._
**_Lash._** The aboleth makes one Tentacle attack.
**_Psychic Drain._** If the aboleth has at least one creature Charmed or Grappled, it uses Consume Memories and regains 5 (1d10) Hit Points.
## Air Elemental
### Air Elemental",,,large,aberration,Lawful Evil,17,150,20d10 + 40,"10 ft., Swim 40 ft.",21,9,15,18,15,18,10,Darkvision 120 ft.; Passive Perception 20,Deep Speech; telepathy 120 ft.,"History +12, Perception +10"
air-elemental,5.5e,SRD,Air Elemental,,"_Large Elemental, Neutral_
**AC** 15 **Initiative** +5 (15) 
**HP** 90 (12d10 + 24) 
**Speed** 10 ft., Fly 90 ft. (hover) 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 14 
 +2 
 +2 
 DEX 
 20 
 +5 
 +5 
 CON 
 14 
 +2 
 +2 
 
 
 INT 
 6 
 −2 
 −2 
 WIS 
 10 
 +0 
 +0 
 CHA 
 6 
 −2 
 −2 
 
 
 
**Resistances** Bludgeoning, Lightning, Piercing, Slashing 
**Immunities** Poison, Thunder; Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** Primordial (Auran) 
**CR** 5 (XP 1,800; PB +3)
#### Traits
 
**_Air Form._** The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.
#### Actions
 
**_Multiattack._** The elemental makes two Thunderous Slam attacks.
**_Thunderous Slam._** _Melee Attack Roll:_ +8, reach 10 ft. _Hit:_ 14 (2d8 + 5) Thunder damage.
**_Whirlwind (Recharge 4–6)._** _Strength Saving Throw:_ DC 13, one Medium or smaller creature in the elemental's space. _Failure:_ 24 (4d10 + 2) Thunder damage, and the target is pushed up to 20 feet straight away from the elemental and has the Prone condition. _Success:_ Half damage only.
## Animated Objects
### Animated Armor",,,large,elemental,Neutral,15,90,12d10 + 24,"10 ft., Fly 90 ft. (hover)",14,20,14,6,10,6,5,Darkvision 60 ft.; Passive Perception 10,Primordial (Auran),
animated-armor,5.5e,SRD,Animated Armor,,"_Medium Construct, Unaligned_
**AC** 18 **Initiative** +2 (12) 
**HP** 33 (6d8 + 6) 
**Speed** 25 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 14 
 +2 
 +2 
 DEX 
 11 
 +0 
 +0 
 CON 
 13 
 +1 
 +1 
 
 
 INT 
 1 
 −5 
 −5 
 WIS 
 3 
 −4 
 −4 
 CHA 
 1 
 −5 
 −5 
 
 
 
**Immunities** Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned 
**Senses** Blindsight 60 ft.; Passive Perception 6 
**Languages** None 
**CR** 1 (XP 200; PB +2)
#### Actions
 
**_Multiattack._** The armor makes two Slam attacks.
**_Slam._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Bludgeoning damage.
### Animated Flying Sword",,,medium,construct,Unaligned,18,33,6d8 + 6,25 ft.,14,11,13,1,3,1,1,Blindsight 60 ft.; Passive Perception 6,None,
animated-flying-sword,5.5e,SRD,Animated Flying Sword,,"_Small Construct, Unaligned_
**AC** 17 **Initiative** +4 (14) 
**HP** 14 (4d6) 
**Speed** 5 ft., Fly 50 ft. (hover) 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 12 
 +1 
 +1 
 DEX 
 15 
 +2 
 +4 
 CON 
 11 
 +0 
 +0 
 
 
 INT 
 1 
 −5 
 −5 
 WIS 
 5 
 −3 
 −3 
 CHA 
 1 
 −5 
 −5 
 
 
 
**Immunities** Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned 
**Senses** Blindsight 60 ft.; Passive Perception 7 
**Languages** None 
**CR** 1/4 (XP 50; PB +2)
#### Actions
 
**_Slash._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 6 (1d8 + 2) Slashing damage.
### Animated Rug of Smothering",,,small,construct,Unaligned,17,14,4d6,"5 ft., Fly 50 ft. (hover)",12,15,11,1,5,1,1/4,Blindsight 60 ft.; Passive Perception 7,None,
animated-rug-of-smothering,5.5e,SRD,Animated Rug of Smothering,,"_Large Construct, Unaligned_
**AC** 12 **Initiative** +4 (14) 
**HP** 27 (5d10) 
**Speed** 10 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 17 
 +3 
 +3 
 DEX 
 14 
 +2 
 +2 
 CON 
 10 
 +0 
 +0 
 
 
 INT 
 1 
 −5 
 −5 
 WIS 
 3 
 −4 
 −4 
 CHA 
 1 
 −5 
 −5 
 
 
 
**Immunities** Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned 
**Senses** Blindsight 60 ft.; Passive Perception 6 
**Languages** None 
**CR** 2 (XP 450; PB +2)
#### Actions
 
**_Smother._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 10 (2d6 + 3) Bludgeoning damage. If the target is a Medium or smaller creature, the rug can give it the Grappled condition (escape DC 13) instead of dealing damage. Until the grapple ends, the target has the Blinded and Restrained conditions, is suffocating, and takes 10 (2d6 + 3) Bludgeoning damage at the start of each of its turns. The rug can smother only one creature at a time. 
 While grappling the target, the rug can't take this action, the rug halves the damage it takes (round down), and the target takes the same amount of damage.
## Ankheg
### Ankheg",,,large,construct,Unaligned,12,27,5d10,10 ft.,17,14,10,1,3,1,2,Blindsight 60 ft.; Passive Perception 6,None,
ankheg,5.5e,SRD,Ankheg,,"_Large Monstrosity, Unaligned_
**AC** 14 **Initiative** +0 (10) 
**HP** 45 (6d10 + 12) 
**Speed** 30 ft., Burrow 10 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 17 
 +3 
 +3 
 DEX 
 11 
 +0 
 +0 
 CON 
 14 
 +2 
 +2 
 
 
 INT 
 1 
 −5 
 −5 
 WIS 
 13 
 +1 
 +1 
 CHA 
 6 
 −2 
 −2 
 
 
 
**Senses** Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 11 
**Languages** None 
**CR** 2 (XP 450; PB +2)
#### Traits
 
**_Tunneler._** The ankheg can burrow through solid rock at half its Burrow Speed and leaves a 10-foot-diameter tunnel in its wake.
#### Actions
 
**_Bite._** _Melee Attack Roll:_ +5 (with Advantage if the target is Grappled by the ankheg), reach 5 ft. _Hit:_ 10 (2d6 + 3) Slashing damage plus 3 (1d6) Acid damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 13).
**_Acid Spray (Recharge 6)._** _Dexterity Saving Throw:_ DC 12, each creature in a 30-foot-long, 5-foot-wide Line. _Failure:_ 14 (4d6) Acid damage. _Success:_ Half damage.
## Assassin
### Assassin",,,large,monstrosity,Unaligned,14,45,6d10 + 12,"30 ft., Burrow 10 ft.",17,11,14,1,13,6,2,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 11",None,
assassin,5.5e,SRD,Assassin,,"_Medium or Small Humanoid, Neutral_
**AC** 16 **Initiative** +10 (20) 
**HP** 97 (15d8 + 30) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 11 
 +0 
 +0 
 DEX 
 18 
 +4 
 +7 
 CON 
 14 
 +2 
 +2 
 
 
 INT 
 16 
 +3 
 +6 
 WIS 
 11 
 +0 
 +0 
 CHA 
 10 
 +0 
 +0 
 
 
 
**Skills** Acrobatics +7, Perception +6, Stealth +10 
**Resistances** Poison 
**Gear** Light Crossbow, Shortsword, Studded Leather Armor 
**Senses** Passive Perception 16 
**Languages** Common, Thieves' Cant 
**CR** 8 (XP 3,900; PB +3)
#### Traits
 
**_Evasion._** If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the save and only half damage if it fails. It can't use this trait if it has the Incapacitated condition.
#### Actions
 
**_Multiattack._** The assassin makes three attacks, using Shortsword or Light Crossbow in any combination.
**_Shortsword._** _Melee Attack Roll:_ +7, reach 5 ft. _Hit:_ 7 (1d6 + 4) Piercing damage plus 17 (5d6) Poison damage, and the target has the Poisoned condition until the start of the assassin's next turn.
**_Light Crossbow._** _Ranged Attack Roll:_ +7, range 80/320 ft. _Hit:_ 8 (1d8 + 4) Piercing damage plus 21 (6d6) Poison damage.
#### Bonus Actions
 
**_Cunning Action._** The assassin takes the Dash, Disengage, or Hide action.
## Awakened Plants
### Awakened Shrub",,,medium,or small humanoid,Neutral,16,97,15d8 + 30,30 ft.,11,18,14,16,11,10,8,Passive Perception 16,"Common, Thieves' Cant","Acrobatics +7, Perception +6, Stealth +10"
awakened-shrub,5.5e,SRD,Awakened Shrub,,"_Small Plant, Neutral_
**AC** 9 **Initiative** −1 (9) 
**HP** 10 (3d6) 
**Speed** 20 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 3 
 −4 
 −4 
 DEX 
 8 
 −1 
 −1 
 CON 
 11 
 +0 
 +0 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 10 
 +0 
 +0 
 CHA 
 6 
 −2 
 −2 
 
 
 
**Vulnerabilities** Fire 
**Resistances** Piercing 
**Senses** Passive Perception 10 
**Languages** Common plus one other language 
**CR** 0 (XP 10; PB +2)
#### Actions
 
**_Rake._** _Melee Attack Roll:_ +1, reach 5 ft. _Hit:_ 1 Slashing damage.
### Awakened Tree",,,small,plant,Neutral,9,10,3d6,20 ft.,3,8,11,10,10,6,0,Passive Perception 10,Common plus one other language,
awakened-tree,5.5e,SRD,Awakened Tree,,"_Huge Plant, Neutral_
**AC** 13 **Initiative** −2 (8) 
**HP** 59 (7d12 + 14) 
**Speed** 20 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 19 
 +4 
 +4 
 DEX 
 6 
 −2 
 −2 
 CON 
 15 
 +2 
 +2 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 10 
 +0 
 +0 
 CHA 
 7 
 −2 
 −2 
 
 
 
**Vulnerabilities** Fire 
**Resistances** Bludgeoning, Piercing 
**Senses** Passive Perception 10 
**Languages** Common plus one other language 
**CR** 2 (XP 450; PB +2)
#### Actions
 
**_Slam._** _Melee Attack Roll:_ +6, reach 10 ft. _Hit:_ 14 (3d6 + 4) Bludgeoning damage.
## Axe Beak
### Axe Beak",,,huge,plant,Neutral,13,59,7d12 + 14,20 ft.,19,6,15,10,10,7,2,Passive Perception 10,Common plus one other language,
axe-beak,5.5e,SRD,Axe Beak,,"_Large Monstrosity, Unaligned_
**AC** 11 **Initiative** +1 (11) 
**HP** 19 (3d10 + 3) 
**Speed** 50 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 14 
 +2 
 +2 
 DEX 
 12 
 +1 
 +1 
 CON 
 12 
 +1 
 +1 
 
 
 INT 
 2 
 −4 
 −4 
 WIS 
 10 
 +0 
 +0 
 CHA 
 5 
 −3 
 −3 
 
 
 
**Senses** Passive Perception 10 
**Languages** None 
**CR** 1/4 (XP 50; PB +2)
#### Actions
 
**_Beak._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 6 (1d8 + 2) Slashing damage.
## Azer
### Azer Sentinel",,,large,monstrosity,Unaligned,11,19,3d10 + 3,50 ft.,14,12,12,2,10,5,1/4,Passive Perception 10,None,
